#YY,MM,DD,hh,mm,WDIR WSPD GST,WVHT,DPD,APD,MWD   PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT m/s  m/s,m,sec,sec,degT   hPa,degC,degC,degC,mi,ft
2022,1,1,0,26,999 99.0 99.0,0.66,13.33,5.03,90 9999.0,999,9.4,999,99,99
2022,1,1,0,56,999 99.0 99.0,0.65,11.76,4.75,89 9999.0,999,9.3,999,99,99
2022,1,1,1,26,999 99.0 99.0,0.68,12.5,4.39,96 9999.0,999,9.2,999,99,99
2022,1,1,1,56,999 99.0 99.0,0.76,13.33,4.17,99 9999.0,999,9.2,999,99,99
2022,1,1,2,26,999 99.0 99.0,0.85,3.33,4.06,177 9999.0,999,9,999,99,99
2022,1,1,2,56,999 99.0 99.0,0.88,3.45,4.24,184 9999.0,999,9,999,99,99
2022,1,1,3,26,999 99.0 99.0,0.77,13.33,4.1,97 9999.0,999,9,999,99,99
2022,1,1,3,56,999 99.0 99.0,0.81,13.33,4.41,90 9999.0,999,9,999,99,99
2022,1,1,4,26,999 99.0 99.0,0.74,10.53,4.64,100 9999.0,999,9,999,99,99
2022,1,1,4,56,999 99.0 99.0,0.78,8.33,4.59,102 9999.0,999,9,999,99,99
2022,1,1,5,26,999 99.0 99.0,0.81,11.11,4.59,90 9999.0,999,9,999,99,99
2022,1,1,5,56,999 99.0 99.0,0.79,10.53,4.27,97 9999.0,999,9,999,99,99
2022,1,1,6,26,999 99.0 99.0,0.82,11.11,4.58,86 9999.0,999,9,999,99,99
2022,1,1,6,56,999 99.0 99.0,0.81,12.5,4.38,86 9999.0,999,9,999,99,99
2022,1,1,7,26,999 99.0 99.0,0.83,7.69,4.25,109 9999.0,999,9.1,999,99,99
2022,1,1,7,56,999 99.0 99.0,0.86,12.5,4.32,94 9999.0,999,9.1,999,99,99
2022,1,1,8,26,999 99.0 99.0,0.87,9.88,4.49,87 9999.0,999,9.1,999,99,99
2022,1,1,8,56,999 99.0 99.0,0.89,4.35,4.54,183 9999.0,999,9.1,999,99,99
